company_name,service_category,certificate_number,found_website,email,phone,website_match_score,contact_score,final_confidence,status,notes
ODERNIX NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/8830,https://www.consultancy.africa/country/nigeria,,,26.1,10.0,20.46,no_match,
ODERNIX NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/8722,https://onyxservicesltd.com/what-we-do/procurement.html,info@onyxservicesltd.com,234) 803 723 6241,24.97,78.0,43.53,no_match,
SHORELINE POWER COMPANY LIMITED,Procurement and Supplies,NCEC/PS-C-5/8455,http://www.shoreline-power.com/,,,85.0,10.0,58.75,auto_accept,
SIGNOL TECH LIMITED,Procurement and Supplies,NCEC/PS-C-5/7950,https://www.signoltech.com/,info@signoltech.com,+2349160347530 (,93.5,96.0,94.38,auto_accept,
STRATOS TRADING LIMITED,Non Moveable Assets,NCEC/DA-C-5/7590,https://stratostrading.net/,,,83.93,0.0,54.55,auto_accept,
TRELLINX PROJECTS LIMITED,Non Moveable Assets,NCEC/DA-C-5/9400,,,,0.0,0.0,0.0,no_match,
TURI INTERNATIONAL LIMITED,Procurement and Supplies,NCEC/PS-C-5/8305,http://www.dubichem.com/content/tura-international-limited,123@dubichem.com,0 (151),34.9,98.0,56.98,no_match,
URBAN & CONTEMPORARY ARCHITECTS LTD,Consultancy Services,NCEC/CS-C-5/9326,https://www.uca.ng/,,,40.0,0.0,26.0,no_match,
Veon Energy Limited,Procurement and Supplies,NCEC/PS-C-5/9648,https://www.veonenergy.com/,info@veonenergy.com,025 12813129175,88.5,98.0,91.82,auto_accept,
ZIGWORTH INTEGRATED SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/8067,https://zigworth.com/about-us.html,info@zigworth.com,0818 265 9997,95.0,96.0,95.35,auto_accept,
2WJ GLOBAL SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/9671,https://2wjglobalservices.com/,,,79.21,0.0,51.49,review_needed,
3 STREAMS SYNERGY LIMITED,Consultancy Services,NCEC/CS-C-5/8306,https://tssynergyconsult.com/,info@tssynergyconsult.com,+234 (0) 708 643 1963,41.27,86.0,56.93,no_match,
3FM SOLUTIONS LIMITED,Consultancy Services,NCEC/CS-C-5/8808,https://3fm-sl.com/,info@3fm-sl.com,+234 907 597 5700,93.64,88.0,91.67,auto_accept,
3T MACSOTECH NIGERIA LIMITED,Services and Support,NCEC/SS-C-5/7573,https://www.3tworldwide.com/3tmacsotech,3t@3tworldwide.com,+234-811-799-6001,85.71,97.0,89.66,auto_accept,
3T WORLDWIDE QRI (NIGERIA) LIMITED,Procurement and Supplies,NCEC/PS-C-5/7817,https://www.3tworldwide.com/3tnigeria,sales.nigeria@3tworldwide.com,+234-805-313-1824,88.64,97.0,91.57,auto_accept,
4TM ENGINEERING SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/8676,https://ipsghana.com/,joseph.moses-mensah@ipsghana.com,0 232 772,34.88,97.0,56.62,no_match,
7SIX SOLUTIONS NIGERIA LIMITED,Non Moveable Assets,NCEC/DA-C-5/8630,http://7sixsolutions.com/,,,56.35,0.0,36.63,no_match,
172 ENERGY SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/9450,https://172energyservicesltd.com/,,,79.21,0.0,51.49,review_needed,
1124 GLOBAL SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/7215,https://www.global-supply-services.com/,sales@global-supply-services.com,0)1904 436 488,32.21,98.0,55.24,no_match,
REN & CONIFER NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/8503,https://coniferkonstruktion.com.ng/building-construction-company/,info@coniferkonstruktion.com.ng,091109125,44.72,98.0,63.37,no_match,
A.B.I PROJECTS CONCEPTS LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/9115,https://abiprojectsltd.com/,info@abiprojectsltd.com,0803 - 708 - 9537,45.71,98.0,64.01,no_match,
A.B.I PROJECTS CONCEPTS LIMITED,Procurement and Supplies,NCEC/PS-C-5/8651,https://abiprojectsltd.com/,info@abiprojectsltd.com,0803 - 708 - 9537,42.38,98.0,61.85,no_match,
A.T ONAJIDE ARCHITECTS LIMITED,Consultancy Services,NCEC/CS-C-5/8064,https://atoarchitects.com/people/,,,44.59,0.0,28.98,no_match,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/7743,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,85.91,98.0,90.14,auto_accept,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/9229,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,87.58,98.0,91.23,auto_accept,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Fabrication and Construction,NCEC/FC-C-5/7618,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,87.58,98.0,91.23,auto_accept,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/9433,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,82.58,98.0,87.98,auto_accept,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/7886,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,82.58,98.0,87.98,auto_accept,
A&N; ENGINEERING AND CONSTRUCTION NIGERIA LIMITED,Services and Support,NCEC/SS-C-5/7594,https://www.aandnengineering.com/,info@aandnengineering.com,+234) 802 926 1638,87.58,98.0,91.23,auto_accept,
AAO-TASALACH LIMITED,Consultancy Services,NCEC/CS-C-5/7643,https://aaotsalach.com/,clientservices@aaotsalach.com,+234 (0) 9160007660,40.35,88.0,57.03,no_match,
AAXAL OFFSHORE SERVICES LTD,Quality Control Inspection and Testing,NCEC/QS-C-5/7681,http://www.aaxal.com/,info@aaxal.com,09 5235 688,72.5,98.0,81.42,review_needed,
ABBNG LIMITED,Procurement and Supplies,NCEC/PS-C-5/8746,https://rocketreach.co/abbng-limited-profile_b5ecf1b8f42e7d02,,,73.75,0.0,47.94,review_needed,
ABG ABIGAL LTD,Procurement and Supplies,NCEC/PS-C-5/8884,https://www.abgabigal.com/,hr@abgabigal.com,,78.33,50.0,68.41,review_needed,
ABILI INTEGRATED SERVICES LIMITED,Construction and Movable Equipment,NCEC/EC-C-3/7636,https://abiliglobal.com/,info@abiliglobal.com,+234 904-008-7990,82.71,98.0,88.06,auto_accept,
ABISCO EKIUS LIMITED,Non Moveable Assets,NCEC/DA-C-5/9334,,,,0.0,0.0,0.0,no_match,
ABNL LIMITED,Consultancy Services,NCEC/CS-C-5/8403,https://www.rigzone.com/directory/company/11126/ABNLLimited/,write@rigzone.com,+23412707396,80.0,97.0,85.95,auto_accept,
ABNL LIMITED,Procurement and Supplies,NCEC/PS-C-5/9230,https://www.rigzone.com/directory/company/11126/ABNLLimited/,write@rigzone.com,+23412707396,80.0,97.0,85.95,auto_accept,
ABRIM NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/7628,https://ibrahimabiodunconsulting.com.ng/,admin@ibrahimabiodunconsulting.com.ng,+2348164281785,29.06,97.0,52.84,no_match,
ABSOLUTE PROJECT SOLUTION COMPANY NIGERIA LIMITED,Non Moveable Assets,NCEC/DA-C-5/8486,,,,0.0,0.0,0.0,no_match,
ABU ENTERPRISES LIMITED,Non Moveable Assets,NCEC/DA-C-5/7847,https://abumet-nigeria.com/,,,23.3,0.0,15.15,no_match,
Accelerated Compact Energy Solutions Limited,Services and Support,NCEC/SS-C-5/7858,https://www.aces-ng.com/,chinyere.edoho@aces-ng.com,+234(0) 807 766 1250,73.57,96.0,81.42,review_needed,
ACCESS ACCORD ENERGY SERVICES LTD,Fabrication and Construction,NCEC/FC-C-5/6154,https://www.accord-esl.com/about-us,david.holland@accord-esl.com,,50.26,60.0,53.67,no_match,
ACCORDANCE ENERGY RESOURCES LIMITED,Non Moveable Assets,NCEC/DA-C-5/8708,https://accordance-energy.com/,info@accordance-energy.com,+234 (0) 809 519 4150,85.0,88.0,86.05,auto_accept,
ACCRETE ENERGY LIMITED,Consultancy Services,NCEC/CS-C-5/8345,https://accreteltd.com/,,,72.35,0.0,47.03,review_needed,
ACED BUSINESS SOLUTIONS CONSULTING LIMITED,Consultancy Services,NCEC/CS-C-5/7906,https://acedconsulting.com/,info@acedconsulting.com,+234(0)813 892 0244,92.5,98.0,94.42,auto_accept,
ACOTADO GLOBAL LIMITED,Procurement and Supplies,NCEC/PS-C-5/7551,https://www.acotado.biz/,,,80.0,0.0,52.0,auto_accept,
ACREALTON LIMITED,Non Moveable Assets,NCEC/DA-C-5/7633,https://acrealton.net/about-us/,data@acrealton.net,+234 813339 5880,90.0,88.0,89.3,auto_accept,
ACREALTON LIMITED,Procurement and Supplies,NCEC/PS-C-5/7654,https://acrealton.net/about-us/,data@acrealton.net,+234 813339 5880,95.0,88.0,92.55,auto_accept,
ACTEON PROJECT SERVICES LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/8155,https://www.acteonproject.com/,info@acteonproject.com,+234 903 675 3675,83.85,88.0,85.3,auto_accept,
ACTI-TECH LTD,Procurement and Supplies,NCEC/PS-C-5/9465,https://actitech.net/,info@actitech.net,+234 (0) 8057633171,88.12,98.0,91.58,auto_accept,
ACUMEN DEVELOPMENT LIMITED,Fabrication and Construction,NCEC/FC-C-5/6727,https://www.withacumen.com,info@withacumen.com,,76.25,60.0,70.56,review_needed,
ADANO ENGINEERING COMPANY NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/9359,https://adanoengineering.com/,,+234-7055320000,90.73,35.0,71.22,auto_accept,
ADANO ENGINEERING COMPANY NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/9660,https://adanoengineering.com/,,+234-7055320000,89.06,35.0,70.14,auto_accept,
ADANO ENGINEERING COMPANY NIGERIA LIMITED,Fabrication and Construction,NCEC/FC-C-5/6747,https://adanoengineering.com/,,+234-7055320000,94.06,35.0,73.39,auto_accept,
ADDITIONAL OILFIELD SERVICES LIMITED,Services and Support,NCEC/SS-C-5/8274,https://www.additionaloilfield.com/,info@additionaloilfield.com,004 2004,94.17,97.0,95.16,auto_accept,
ADLAND PROJECTS NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/7782,https://www.adlandprojects.com/about.html,info@adlandprojects.com,+234-803-779-9091,95.6,97.0,96.09,auto_accept,
ADLEAN SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/7387,https://adleanserve.com/,,,80.0,0.0,52.0,auto_accept,
ADMIRAL MARINE SHIPPING NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/8369,https://admiralmarine.com.ng/history/,info@admiralmarine.com.ng,+234 809 591 3333,66.35,97.0,77.08,review_needed,
ADMIRAL MARINE SHIPPING NIGERIA LIMITED,Non Moveable Assets,NCEC/DA-C-5/8994,https://admiralmarine.com.ng/history/,info@admiralmarine.com.ng,+234 809 591 3333,61.35,97.0,73.83,review_needed,
ADMIRALTY MARITIME SERVICES LTD,Consultancy Services,NCEC/CS-C-5/9130,https://www.amsl.ng/,info@amsl.ng,+234 915 404 3905 8,88.57,98.0,91.87,auto_accept,
ADONAI INTEGRITY SOLUTIONS LTD,Procurement and Supplies,NCEC/PS-C-5/8404,https://www.adonai-integrity.com/,adonai@adonai-integrity.com,0 806 1600,90.0,88.0,89.3,auto_accept,
ADOPEZ GLOBAL VENTURES NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/7272,https://www.manpower.com.ng/company/90706/adopez-global-ventures-limited,,,76.92,0.0,50.0,review_needed,
ADRAGA NIGERIA LIMITED,Fabrication and Construction,NCEC/FC-C-5/4734,https://www.adragang.com/,info@adragang.com,,90.0,60.0,79.5,auto_accept,
Advanced Gases Limited,Manufacturing and Related Services,NCEC/MS-C-5/7332,https://www.advancedgasesng.com/,sales@advancedgasesng.com,025-11-13,87.78,98.0,91.36,auto_accept,
AENEAS ALLIANCE NIG LTD,Fabrication and Construction,NCEC/FC-C-5/8656,https://aeneasalliance.com/hello-world/,,,56.43,0.0,36.68,no_match,
AERIAL ROBOTIX UAV SERVICES LIMITED,Non Moveable Assets,NCEC/DA-C-5/9440,https://www.zoominfo.com/c/aerial-robotix/421176368,,,43.12,0.0,28.03,no_match,
AERIAL ROBOTIX UAV SERVICES LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/9152,,,,0.0,0.0,0.0,no_match,
AERSON TECHNOLOGY LIMITED,Procurement and Supplies,NCEC/PS-C-5/7946,https://www.aersontec.com/,info@aersontec.com,024 1-3,88.33,88.0,88.21,auto_accept,
AFRICA DIVING SERVICES LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/9591,https://ads-diving.com/contact-africa-diving-services-ads.php,info@ads-ng.com,,80.83,30.0,63.04,auto_accept,
AFRICAN CIRCLE POLLUTION MANAGEMENT LIMITED,Non Moveable Assets,NCEC/DA-C-5/8887,https://www.africancircle.com/,info@africancircle.com,+234 809 080 0007,61.35,98.0,74.18,review_needed,
AFRICENERGY AND INFRASTRUCTURE LTD,Fabrication and Construction,NCEC/FC-C-5/7156,https://www.africenergygroup.com/leadership/,info@africenergygroup.com,015-2019),59.72,98.0,73.12,no_match,
AFROPREXSU SHIPPING & OIL SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/8001,https://afroprexsuservices.com/about-company-profile.html,info@afroprexsuservices.com,08184246067,73.75,87.0,78.39,review_needed,
AGBORO INTEGRATED SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/9556,https://agborointegrated.com/about-us/,,,94.06,0.0,61.14,auto_accept,
AGOLL VENTURES LIMITED,Fabrication and Construction,NCEC/FC-C-5/5807,http://agollintl.com/about.html,,,43.21,0.0,28.09,no_match,
AICETEC NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/8412,https://aicetec.com/,info@aicetec.com,+234 (0) 1-7738307,91.67,98.0,93.89,auto_accept,
AIDERR PROJECT SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/8801,https://aiderr.co/,,,80.0,0.0,52.0,auto_accept,
AIM CONSULTANTS LIMITED,Consultancy Services,NCEC/CS-C-5/9065,https://aimconsultants.com/,info@aimconsultants.com,06385-2445,73.93,98.0,82.35,review_needed,
AIOON ENERGY LIMITED,Procurement and Supplies,NCEC/PS-C-5/8474,https://aioonenergy.com/about-us.html,,,73.64,0.0,47.87,review_needed,
AIOON ENERGY LIMITED,Services and Support,NCEC/SS-C-5/8045,https://aioonenergy.com/about-us.html,,,73.64,0.0,47.87,review_needed,
AIR SEA FREIGHTERS LIMITED,Non Moveable Assets,NCEC/DA-C-5/8542,https://airseafreightersltd.com/,,,74.12,0.0,48.18,review_needed,
AIRYOLK NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/8730,https://airyolk.com/company/about-us/,airyolk@yahoo.co.uk,+234-8108515071,100.0,57.0,84.95,auto_accept,
AIRYOLK NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/8818,https://airyolk.com/company/about-us/,airyolk@yahoo.co.uk,+234-8108515071,100.0,57.0,84.95,auto_accept,
AJAMY OIL AND GAS LIMITED,Fabrication and Construction,NCEC/FC-C-5/4399,https://ajamyholding.com/about/,,,95.5,10.0,65.58,auto_accept,
AKAIVANETT MULTINATIONAL SERVICES LIMITED,Fabrication and Construction,NCEC/FC-C-5/5531,https://akaivanett.com/about/,info@akaivanett.com,02084550127,72.5,87.0,77.58,review_needed,
AKER GLOBAL RESOURCES LIMITED,Procurement and Supplies,NCEC/PS-C-5/8519,https://www.akergl.com/,,0005-2205,35.0,35.0,35.0,no_match,
AKERMAS ENERGY LIMITED,Fabrication and Construction,NCEC/FC-C-5/6282,https://www.akermas.com/,,,95.0,10.0,65.25,auto_accept,
AKERMAS ENERGY LIMITED,Services and Support,NCEC/SS-C-5/8134,https://www.akermas.com/,,,95.0,10.0,65.25,auto_accept,
AKINAD ENERGY & CONSULTING LIMITED,Consultancy Services,NCEC/CS-C-5/8697,https://www.akingump.com/en/sectors/energy/renewables-and-energy-transition/renewable-energy,,,29.09,0.0,18.91,no_match,
AKWASAM VENTURES LIMITED,Procurement and Supplies,NCEC/PS-C-5/7635,https://www.indiafilings.com/business/company-details/a-k-ventures-private-limited-cin-U51109MH2008PTC178815,careers@indiafilings.com,02-2023,19.75,87.0,43.29,no_match,
ALBATECH SERVICES NIGERIA LIMITED,Non Moveable Assets,NCEC/DA-C-5/9644,https://albatechsystems.com/,albatechsys@gmail.com,011-41011664,75.0,58.0,69.05,review_needed,
ALBRAL ALLIANCE LIMITED,Non Moveable Assets,NCEC/DA-C-5/8866,https://albralalliance.com/,rachelonu@albralalliance.com,+2349160004620,83.93,98.0,88.85,auto_accept,
ALCHRIS ENERGY SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/7867,https://alchris-energy.com/,,,80.0,0.0,52.0,auto_accept,
ALFAY NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/8513,http://alfayng.com/,info@alfayng.com,+234-84-795002,91.67,98.0,93.89,auto_accept,
ALFAY NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/8269,http://alfayng.com/,info@alfayng.com,+234-84-795002,85.0,98.0,89.55,auto_accept,
ALFCOM ENERGY LIMITED,Consultancy Services,NCEC/CS-C-5/9561,https://www.alfcomenergy.com/,info@alfcomenergy.com,+234-812-364-4639,66.25,98.0,77.36,review_needed,
ALFF PETROLEUM AND GAS INVESTMENT LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/7837,https://alffpetrongltd.com/eddy-current-probes/,,,54.5,0.0,35.43,no_match,
ALFRED PETERSON NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/9097,https://alfredpeterson.com/about/,,,88.93,0.0,57.8,auto_accept,
ALGEMIC ENGINEERING NIGERIA LTD,Procurement and Supplies,NCEC/PS-C-5/9646,https://algemicengineering.com/,,,89.17,0.0,57.96,auto_accept,
ALIKPA INTEGRATED SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/9203,https://integratedsuppliesllc.com/,info@integratedsuppliesllc.com,,38.43,50.0,42.48,no_match,
ALKANES PETROLEUM AND GAS LIMITED,Non Moveable Assets,NCEC/DA-C-5/9411,https://www.signalhire.com/companies/alkanes-petroleum-and-gas-ltd,,,58.12,0.0,37.78,no_match,
ALL ENERGY WEST AFRICA NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/9087,https://aewanl.com/,enquiries@aewanl.com,+234 706 201 6100,82.5,97.0,87.57,auto_accept,
ALL TRADE POST EXPRESS LIMITED,Non Moveable Assets,NCEC/DA-C-5/8370,https://alltradepost.com/?page_id=308,info@alltradepost.com,01322311444,41.84,86.0,57.3,no_match,
ALLIED COMPUTERS LIMITED,Procurement and Supplies,NCEC/PS-C-3/7850,,,,0.0,0.0,0.0,no_match,
ALLIED TEAM GLOBAL RESOURCES LIMITED,Procurement and Supplies,NCEC/PS-C-5/8193,https://atgrltd.com/,info@atgrltd.com,234 803 711 2000,71.92,98.0,81.05,review_needed,
ALLMAN GLOBAL SERVICES LIMITED,Non Moveable Assets,NCEC/DA-C-5/7826,https://www.allmanglobal.org/about.html,allmanglobalservices@yahoo.com,08069493360,88.75,68.0,81.49,auto_accept,
ALLMAN GLOBAL SERVICES LIMITED,Services and Support,NCEC/SS-C-5/7617,https://www.allmanglobal.org/about.html,allmanglobalservices@yahoo.com,08069493360,93.75,68.0,84.74,auto_accept,
ALMOND GENERAL STRATEGY NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/9394,https://almondair.com/,info@almondair.com,0 258 7844,39.64,98.0,60.07,no_match,
ALOKPAYAI VENTURES LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/8517,https://afriventures.com/contact-us/,dubai@afriventures.com,022 45094900,42.85,96.0,61.45,no_match,
ALON TECHNICAL SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/9510,https://www.zoominfo.com/c/alon-technical-services-ltd/357017941,,,70.0,0.0,45.5,review_needed,
ALON TECHNICAL SERVICES LIMITED,Fabrication and Construction,NCEC/FC-C-5/5425,https://www.zoominfo.com/c/alon-technical-services-ltd/357017941,,,70.0,0.0,45.5,review_needed,
ALPATECH ENGINEERING NIGERIA LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/8657,https://www.alpatechlimited.com/,info@alpatechlimited.com,+234 (0916) 187-0484,84.13,98.0,88.98,auto_accept,
ALPATECH ENGINEERING NIGERIA LIMITED,Consultancy Services,NCEC/CS-C-5/9189,https://www.alpatechlimited.com/,info@alpatechlimited.com,+234 (0916) 187-0484,85.8,98.0,90.07,auto_accept,
ALPATECH ENGINEERING NIGERIA LIMITED,Non Moveable Assets,NCEC/DA-C-5/8195,https://www.alpatechlimited.com/,info@alpatechlimited.com,+234 (0916) 187-0484,80.8,98.0,86.82,auto_accept,
ALPATECH ENGINEERING NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/7224,https://www.alpatechlimited.com/,info@alpatechlimited.com,+234 (0916) 187-0484,80.8,98.0,86.82,auto_accept,
ALPHA AND GODMAN ENGINEERING SERVICES LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/8919,https://www.zoominfo.com/p/Onyeanisi-Chinwike/8680028208,,,53.12,0.0,34.53,no_match,
ALPHA BRAVO INTEGRATED SERVICES LIMITED,Consultancy Services,NCEC/CS-C-5/7176,https://www.alphabravoservices.com/,info@alphabravoservices.com,+234 814 337 6941,75.65,78.0,76.47,review_needed,
ALPHA INTEGRATED ENERGY SERVICES LIMITED,Services and Support,NCEC/SS-C-5/8862,https://alphanigeria.com/,info@alphanigeria.com,+234-805-319-9992,85.0,78.0,82.55,auto_accept,
ALPHA MAXVALUE ENERGY AND RENEWABLES LIMITED,Consultancy Services,NCEC/CS-C-5/9161,https://alphamaxvalue.com/about-us/,,,73.85,0.0,48.0,review_needed,
ALPHA OILWELL TECHNOLOGIES LIMITED,Services and Support,NCEC/SS-C-4/8703,https://alphawireline.com/,info@alphawireline.com,01-453-9595,85.0,98.0,89.55,auto_accept,
ALPHA ZILLION LIMITED,Fabrication and Construction,NCEC/FC-C-5/4851,https://alphazillionltd.com/our-services,info@alphazillionltd.com,+234 8023776505,94.4,98.0,95.66,auto_accept,
ALPHA ZILLION LIMITED,Quality Control Inspection and Testing,NCEC/QS-C-5/8616,https://alphazillionltd.com/our-services,info@alphazillionltd.com,+234 8023776505,94.4,98.0,95.66,auto_accept,
ALPHADEN ENERGY & OILFIELD LIMITED,Consultancy Services,NCEC/CS-C-5/9324,https://alphadenenergy.com/about-us,info@alphadenenergy.com,+234(0)700,71.43,96.0,80.03,review_needed,
ALPHARETTA ENERGY SERVICES INTERNATIONAL LIMITED,Services and Support,NCEC/SS-C-5/7480,https://alpharetta-energy.com/about-us/,info@alpharetta-energy.com,0818 831 5592,77.5,87.0,80.83,review_needed,
AMAA INTEGRATED SERVICES LTD,Procurement and Supplies,NCEC/PS-C-5/8254,https://amaaintegratedservices.com/,,,56.98,0.0,37.04,no_match,
Amaiden Energy Nigeria Limited,Consultancy Services,NCEC/CS-C-5/8258,https://amaidenenergy.com/,info@amaiden.com,01 4540037-41,88.85,78.0,85.05,auto_accept,
Amaiden Energy Nigeria Limited,Non Moveable Assets,NCEC/DA-C-5/9010,https://amaidenenergy.com/,info@amaiden.com,01 4540037-41,83.85,78.0,81.8,auto_accept,
AMAMDO ENERGY SERVICES NIG. LTD,Services and Support,NCEC/SS-C-5/9464,https://www.amamdoenergy.com/power_and_energy_services,info@amamdoenergy.com,+234 803 628 5213,93.75,88.0,91.74,auto_accept,
AMAZON ENERGY LIMITED,Consultancy Services,NCEC/CS-C-5/7821,https://amazon-energy.com/,,01 630 9400,95.0,45.0,77.5,auto_accept,
AMAZON ENGINEERING CONSULT LTD,Consultancy Services,NCEC/CS-C-5/8421,https://amazonengineering.com.ng/,info@amazonengineering.com.ng,+234) 8068529043,66.62,96.0,76.9,review_needed,
AMBAN NIGERIA LIMITED,Fabrication and Construction,NCEC/FC-C-5/7911,https://ambanltd.com/,info@ambanltd.com,234 803 113 4422,90.0,88.0,89.3,auto_accept,
AMBER RESOURCES NIGERIA LIMITED,Fabrication and Construction,NCEC/FC-C-5/8214,https://www.amber-resources.com/,,,90.0,0.0,58.5,auto_accept,
AMBIPAR NIGERIA LTD,Non Moveable Assets,NCEC/DA-C-5/9629,https://markets.ft.com/data/equities/tearsheet/profile?s=AMBP3:SAO,,025 - 16,84.0,25.0,63.35,auto_accept,
AMEE GLOBAL SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/7878,https://ameeglobal.com/,info@ameeglobal.com,+234 (0) 803 346 9155,73.5,98.0,82.07,review_needed,
AMELIN PROJECTS LTD,Fabrication and Construction,NCEC/FC-C-5/6606,https://www.amelinprojects.com/,info@amelinprojects.com,,93.93,60.0,82.05,auto_accept,
AMERAPEX NIGERIA LIMITED,Procurement and Supplies,NCEC/PS-C-5/7564,https://ejesgist.com/latest-job-openings-at-amerapex-nigeria-limited.html,,,80.45,0.0,52.29,auto_accept,
AMERITRADE LIMITED,Procurement and Supplies,NCEC/PS-C-5/8489,https://ameritradeng.com/,info@ameritradeng.com,+234 905 539 5538,85.0,87.0,85.7,auto_accept,
AMEXY GLOBAL LIMITED,Procurement and Supplies,NCEC/PS-C-5/7992,https://amexy-gt.com/,info@amexy-gt.com,01 3657,41.5,88.0,57.77,no_match,
